german,english,german_full,s1,t1,s2,t2,s3,t3,s4,t4,s5,t5,s6,t6,s7,t7
zelten,to camp,"zelten, zeltet, zeltete, hat gezeltet",Ich habe noch nie gezeltet.,I have never camped before.,,,,,,,,,,,,
zerstören,to destroy,"zerstören, zerstört, zerstörte, hat zerstört",Der Sturm hat viele Häuser zerstört.,The storm destroyed many houses.,,,,,,,,,,,,
ziehen,"to pull, move (places)","ziehen, zieht, zog, hat/ist gezogen","Sie müssen ziehen, nicht drücken.","You have to pull, not push.",Wir sind vor drei Wochen nach Hamburg gezogen.,We moved to Hamburg three weeks ago.,"Machen Sie bitte die Tür zu, es zieht.","Please close the door, there's a draught.",,,,,,,,
zubereiten,to prepare,"zubereiten, bereitet zu, bereitete zu, hat zubereitet",Sie bereitet das Fleisch mit Kartoffeln zu.,She prepares the meat with potatoes.,,,,,,,,,,,,
zugehen,"to approach, close","zugehen, geht zu, ging zu, ist zugegangen",Die Tür geht nicht zu. Kannst du mir helfen?,The door won't close. Can you help me?,,,,,,,,,,,,
zuhören,to listen,"zuhören, hört zu, hörte zu, hat zugehört",Hör mir doch mal zu!,Listen to me!,,,,,,,,,,,,
zumachen,to close,"zumachen, macht zu, machte zu, hat zugemacht",Mach bitte die Tür zu!,Please close the door!,,,,,,,,,,,,
zunehmen,"to increase, gain weight","zunehmen, nimmt zu, nahm zu, hat zugenommen",Ich habe im Urlaub 1 Kilo zugenommen.,I gained 1 kilo during my vacation.,,,,,,,,,,,,
zurechtkommen,"to manage, cope","zurechtkommen, kommt zurecht, kam zurecht, ist zurechtgekommen",Soll ich Ihnen helfen? - Danke. Ich komme allein zurecht.,Shall I help you? - Thank you. I can manage on my own.,,,,,,,,,,,,
zusagen,to promise,"zusagen, sagt zu, sagte zu, hat zugesagt",Meine Eltern haben uns zum Essen eingeladen. Ich habe zugesagt.,My parents invited us to dinner. I accepted.,,,,,,,,,,,,
zusammenfassen,to summarize,"zusammenfassen, fasst zusammen, fasste zusammen, hat zusammengefasst",Können Sie das bitte noch einmal kurz zusammenfassen?,Can you please summarize this briefly?,,,,,,,,,,,,
zuschauen,to watch,"zuschauen, schaut zu, schaute zu, hat zugeschaut","Willst du mitspielen? – Nein, ich schaue lieber nur zu.","Do you want to play? - No, I'd rather just watch.",,,,,,,,,,,,
zu sein,to be closed,"zu sein, ist zu, war zu, ist zu gewesen",Am Sonntag sind die die meisten Läden zu.,Most stores are closed on Sunday.,Das Fenster war nicht zu.,The window was not closed.,,,,,,,,,,
zustimmen,to agree,"zustimmen, stimmt zu, stimmte zu, hat zugestimmt",Ich stimme dir in dieser Sache völlig zu.,I completely agree with you on this.,Er nickt zustimmend.,He nods in agreement.,,,,,,,,,,
zweifeln,to doubt,"zweifeln, zweifelt, zweifelte, hat gezweifelt","Ich zweifle nicht daran, dass Sie recht haben.",I have no doubt that you are right.,,,,,,,,,,,,
(sich) zwingen,to force,"(sich) zwingen, zwingt, zwang, hat gezwungen",Bitte zwing mich nicht etwas zu essen. Ich bin wirklich nicht hungrig.,Please don't make me eat anything. I'm really not hungry.,Das schlechte Wetter zwang uns umzukehren.,The bad weather forced us to turn back.,,,,,,,,,,
probieren,to try,"probieren, probiert, probierte, hat probiert (D, CH) 
→ A: kosten",Möchten Sie den Käse mal probieren?,Would you like to try the cheese?,,,,,,,,,,,,
präsentieren,to present,"präsentieren, präsentieren, präsentiert, präsentierte, hat präsentiert",Präsentieren Sie Ihre Ergebnisse bitte im Kurs.,Please present your results in the course.,,,,,,,,,,,,
"pensioniert werden/sein, in Pension gehen/sein",to to be/be retired,"pensioniert werden/sein (D, CH) 
→ D, A: in Pension gehen/sein; D: in Rente gehen/sein",Ich werde Ende des Jahres pensioniert.,I'm retiring at the end of the year.,Mein Nachbar ist seit zehn Jahren pensioniert.,My neighbor has been retired for ten years.,,,,,,,,,,
parken,to park,"parken, parkt, parkte, hat geparkt (D, A) 
→ CH: parkieren",Hier dürfen Sie nicht parken.,You are not allowed to park here.,Hier ist das Parken verboten.,Parking is prohibited here.,,,,,,,,,,
grillen,to barbecue,"grillen, grillt, grillte, hat gegrillt (D, A) 
→ CH: grillieren",Heute wollen wir im Garten grillen.,Today we want to have a barbecue in the garden.,,,,,,,,,,,,
festnehmen,to arrest,"festnehmen, nimmt fest, nahm fest, hat festgenommen.",Die Polizei hat einen Mann festgenommen.,The police have arrested a man.,,,,,,,,,,,,
erschrecken,to frighten,"erschrecken, erschrickt, erschrak, ist erschrocken/ jdn. erschrecken, erschreckt, erschreckte, hat erschreckt",Du hast richtig krank ausgesehen. Ich war ganz erschrocken.,You looked really sick. I was really scared.,Hast du mich aber erschreckt!,You gave me a fright!,Entschuldigung. Ich wollte Sie nicht erschrecken.,I apologize. I didn't mean to scare you.,,,,,,,,
(sich) überzeugen,to convince,"(sich) überzeugen, überzeugt, überzeugte, hat überzeugt",Ihr Vorschlag überzeugt mich gar nicht.,I am not at all convinced by your proposal.,"Ich bin fest davon überzeugt, dass meine Entscheidung richtig ist. Wie bist du zu dieser Überzeugung gekommen?",I am firmly convinced that my decision is the right one. How did you come to this conviction?,,,,,,,,,,

beschränken,to limit,"beschränken, beschränkt, beschränkte, hat beschränkt",Die Teilnehmerzahl für den Kurs ist beschränkt.,The number of participants for the course is limited.
entgegenkommen,"to meet, accommodate","entgegengekommen, kommt entgegen, kam entgegen, ist entgegengekommen",Auf dem Weg nach Hause ist mir mein Nachbar entgegengekommen.,"On the way home, my neighbor ran into me.",Können Sie mir mit dem Preis entgegenkommen?,Can you accommodate me with the price?
(raus/heraus)finden,to find out,"(raus/heraus)finden, findet heraus, fand heraus, hat herausgefunden","Hast du schon rausgefunden, wann und wo man sich für den Kurs anmelden muss?",Have you found out when and where you have to register for the course?
(runter/herunter)laden,to download,"(runter/herunter)laden, lädt herunter, lud herunter, hat heruntergeladen",Ich habe mir Musik aus dem Internet (he)runtergeladen.,I downloaded music from the Internet.
kaputtgehen,to break (intransitive),"kaputtgehen, geht kaputt, ging kaputt, ist kaputtgegangen",Pass bitte mit diesem Glas auf. Es geht leicht kaputt.,Please be careful with this glass. It breaks easily.,Der Fernseher ist gestern kaputtgegangen.,The TV broke yesterday.
kaputtmachen,to break (transitive),"kaputtmachen, macht kaputt, machte kaputt, hat kaputtgemacht",Wer hat die Lampe kaputtgemacht?,Who broke the lamp?
zuschauen,to watch,"zuschauen, schaut zu, schaute zu, hat zugeschaut",Möchtest du beim Fußballspiel zuschauen?,Would you like to watch a soccer match?
aufschreiben,to write down,"aufschreiben, schreibt auf, schrieb auf, aufgeschrieben",Ich habe mir deine Telefonnummer aufgeschrieben.,I wrote down your phone number.
stehenbleiben,"to stop, remain still","stehenbleiben, bleibt stehen, blieb stehen, ist stehengeblieben",Bitte bleiben Sie stehen.,Please remain standing.,Meine Uhr ist stehen geblieben.,My watch has stopped.
